frequency,wavelength,ajoint,score,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.1,1.575,0.45,4.598591643552562,4.600167267577245,-0.31512480493655665,0.31512480493655665,13.314505154606204,16.245234357218262,26.437248899106002,0.10130740736269805
1.1,1.65,0.45,4.596650528651246,4.598302122632466,-0.33031879624405336,0.33031879624405336,13.67437906809611,17.005730385285663,27.317469078822672,0.1013175883372863
1.1,1.5,0.45,4.546607847936952,4.548098189640943,-0.29806834079833555,0.29806834079833555,12.885209098717965,15.4178529029643,25.20882528607868,0.10128054374330911
1.1,1.425,0.45,4.43503122365373,4.436431833992671,-0.28012206778826004,0.28012206778826004,12.385531253256621,14.52436242701708,23.842573058675402,0.1012378874275499
1.1,1.35,0.45,4.242834328590343,4.244141781813847,-0.26149064470087285,0.26149064470087285,11.808935610389643,13.560143946645844,22.328911245602416,0.10118399175127667
1.05,1.65,0.45,4.226340988323139,4.228674430926308,-0.466688520633639,0.466688520633639,12.659932420728433,15.760063666992151,25.986046482859,0.10115887454629259
1.05,1.575,0.45,4.215580982026016,4.217864523269882,-0.45670824877314886,0.45670824877314886,12.318195924422103,15.040533941555816,24.908934253515895,0.10114622051426193
1.05,1.5,0.45,4.163756121639498,4.165974621382423,-0.44369994858509115,0.44369994858509115,11.917989664953762,14.264811215313554,23.72485807899304,0.10114465887436859
1.05,1.425,0.45,4.0579106739166555,4.060047446823916,-0.42735458145210176,0.42735458145210176,11.451366336720426,13.427680790868719,22.41979487042812,0.10115648563780352
1.0,1.65,0.45,3.9331065591541092,3.933140446771764,-0.006777523530975486,0.006777523530975486,11.87840778414216,14.762778581320037,24.389565356067465,0.1012499999999981
1.0,1.575,0.45,3.9259869130787717,3.926013917095386,-0.005400803322905972,0.005400803322905972,11.55201471385719,14.08464548955434,23.36076001015353,0.10124999999999769
1.0,1.5,0.45,3.8790712102718294,3.8790911717609173,-0.003992297817554572,0.003992297817554572,11.17031468055647,13.352747081613925,22.232521344472012,0.1012499999999974
1.05,1.35,0.45,3.878187801559222,3.880225195364179,-0.40747876099134456,0.40747876099134456,10.912013883361535,12.52503465448258,20.97862606254595,0.10118243604515764
1.0,1.425,0.45,3.779689892721477,3.779702960821964,-0.0026136200974167046,0.0026136200974167046,10.725856922057748,12.562108738937617,20.992711092790092,0.10124999999999727
1.0,1.35,0.45,3.608897969102982,3.608904740268842,-0.0013542331719921777,0.0013542331719921777,10.212298814423576,11.708750471549543,19.625098431978756,0.10124999999999738
0.9500000000000001,1.65,0.45,3.580784190876637,3.5823184285787515,0.30684754042285833,0.30684754042285833,11.044022805223698,13.68637731870723,22.78075392810346,0.10133480677430266
0.9500000000000001,1.575,0.45,3.5794354103793227,3.5809583977588693,0.30459747590933217,0.30459747590933217,10.735265342426752,13.053559857655523,21.803680994361176,0.1013692445017919
0.9500000000000001,1.5,0.45,3.540706135882124,3.5422050477208273,0.2997823677406676,0.2997823677406676,10.374162355653526,12.369993328740495,20.73445812407363,0.10140315160346784
0.9,1.65,0.45,3.480297635023413,3.480598572142625,0.0601874238423333,0.0601874238423333,10.271481204626886,12.72731176637756,21.16267128303416,0.10121137116263138
0.9,1.575,0.45,3.4630074169201572,3.46335281345703,0.06907930737457665,0.06907930737457665,9.970951661668417,12.129443281960114,20.239413363015345,0.10116728378076542
0.9500000000000001,1.425,0.45,3.452429317809227,3.4538887934367515,0.2918951255049419,0.2918951255049419,9.953760053145244,11.63097078195938,19.56092807874537,0.10143138827317277
0.9,1.5,0.45,3.4087107041359217,3.4090928114839434,0.0764214696043219,0.0764214696043219,9.622341770562059,11.483698224047997,19.230557155310766,0.10111116498297046
0.9,1.425,0.45,3.30592787580928,3.3063362858248198,0.08168200310797806,0.08168200310797806,9.21964610087933,10.78587599342919,18.12477658429989,0.10104911958179123
0.9500000000000001,1.35,0.45,3.296796773503222,3.2981987548529568,0.2803962699469687,0.2803962699469687,9.467922101503772,10.832679889689386,18.267927321383468,0.10144736519546108
0.9,1.35,0.45,3.1384883358325153,3.138909885087244,0.0843098509456839,0.0843098509456839,8.757379902300084,10.032654505016595,16.907672876454082,0.10099154978434778
