start,iteration,frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1,5,1.0,1.6275,0.45,3.9344031035878504,617.8545695570731,0.0016185038506988448,3.9345304646420045,-0.006368052707714999,0.006368052707714999,11.78581220805488,14.564711711178257,24.090865298717908,0.10125000000000042
2,6,1.0,1.6275,0.45,3.9344031035878504,617.8545695570731,0.0016185038506988448,3.9345304646420045,-0.006368052707714999,0.006368052707714999,11.78581220805488,14.564711711178257,24.090865298717908,0.10125000000000042
3,6,1.0,1.6275,0.45,3.9344031035878504,617.8545695570731,0.0016185038506988448,3.9345304646420045,-0.006368052707714999,0.006368052707714999,11.78581220805488,14.564711711178257,24.090865298717908,0.10125000000000042
1,3,1.0,1.625,0.45,3.934394555868807,622.3041888781704,0.0016069311726837367,3.934521005957888,-0.006322504454052705,0.006322504454052705,11.775246834139677,14.542425589767578,24.057141897828068,0.10125000000000042
1,6,1.0,1.625,0.45,3.934394555868807,622.3041888781704,0.0016069311726837367,3.934521005957888,-0.006322504454052705,0.006322504454052705,11.775246834139677,14.542425589767578,24.057141897828068,0.10125000000000042
2,4,1.0,1.625,0.45,3.934394555868807,622.3041888781704,0.0016069311726837367,3.934521005957888,-0.006322504454052705,0.006322504454052705,11.775246834139677,14.542425589767578,24.057141897828068,0.10125000000000042
3,4,1.0,1.625,0.45,3.934394555868807,622.3041888781704,0.0016069311726837367,3.934521005957888,-0.006322504454052705,0.006322504454052705,11.775246834139677,14.542425589767578,24.057141897828068,0.10125000000000042
1,0,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
1,4,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
1,6,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
2,1,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
2,5,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
3,1,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
3,5,1.0,1.63,0.45,3.9343773516436054,613.3831956923431,0.001630302243398226,3.9345056403110465,-0.006414433372062073,0.006414433372062073,11.796294165955107,14.586941491903927,24.12446759818051,0.1012500000000004
1,5,1.0,1.6225,0.45,3.93434806617778,626.8184193677907,0.0015953583511610912,3.934473604084214,-0.006276895321698627,0.006276895321698627,11.764624410167428,14.520082865445433,24.023296810376436,0.10125000000000044
2,6,1.0,1.6225,0.45,3.93434806617778,626.8184193677907,0.0015953583511610912,3.934473604084214,-0.006276895321698627,0.006276895321698627,11.764624410167428,14.520082865445433,24.023296810376436,0.10125000000000044
3,6,1.0,1.6225,0.45,3.93434806617778,626.8184193677907,0.0015953583511610912,3.934473604084214,-0.006276895321698627,0.006276895321698627,11.764624410167428,14.520082865445433,24.023296810376436,0.10125000000000044
1,2,1.0,1.6199999999999999,0.45,3.9342624385978033,631.4217657128714,0.0015837274771024182,3.9343870585356067,-0.006230996890159,0.006230996890159,11.753949591924709,14.497682237669517,23.98932957720103,0.10125000000000044
1,4,1.0,1.62,0.45,3.9342624385978033,631.4217657127716,0.0015837274771026686,3.9343870585356067,-0.006230996890159986,0.006230996890159986,11.753949591924709,14.49768223766952,23.989329577201026,0.10125000000000044
2,3,1.0,1.6199999999999999,0.45,3.9342624385978033,631.4217657128714,0.0015837274771024182,3.9343870585356067,-0.006230996890159,0.006230996890159,11.753949591924709,14.497682237669517,23.98932957720103,0.10125000000000044
2,5,1.0,1.62,0.45,3.9342624385978033,631.4217657127716,0.0015837274771026686,3.9343870585356067,-0.006230996890159986,0.006230996890159986,11.753949591924709,14.49768223766952,23.989329577201026,0.10125000000000044
3,3,1.0,1.6199999999999999,0.45,3.9342624385978033,631.4217657128714,0.0015837274771024182,3.9343870585356067,-0.006230996890159,0.006230996890159,11.753949591924709,14.497682237669517,23.98932957720103,0.10125000000000044
3,5,1.0,1.62,0.45,3.9342624385978033,631.4217657127716,0.0015837274771026686,3.9343870585356067,-0.006230996890159986,0.006230996890159986,11.753949591924709,14.49768223766952,23.989329577201026,0.10125000000000044
1,3,1.0,1.6349999999999998,0.45,3.934232276629837,604.7423897199759,0.0016535966669428397,3.934362393600649,-0.006505848540603286,0.006505848540603286,11.81714476450503,14.631233764801863,24.19131295130997,0.10125000000000038
2,4,1.0,1.6349999999999998,0.45,3.934232276629837,604.7423897199759,0.0016535966669428397,3.934362393600649,-0.006505848540603286,0.006505848540603286,11.81714476450503,14.631233764801863,24.19131295130997,0.10125000000000038
3,4,1.0,1.6349999999999998,0.45,3.934232276629837,604.7423897199759,0.0016535966669428397,3.934362393600649,-0.006505848540603286,0.006505848540603286,11.81714476450503,14.631233764801863,24.19131295130997,0.10125000000000038
1,2,1.0,1.64,0.45,3.9339580678832564,596.4376256925331,0.001676621254131787,3.934089987461029,-0.006595978888644216,0.006595978888644216,11.837777119559023,14.675306314855382,24.257680901580652,0.10125000000000038
2,3,1.0,1.64,0.45,3.9339580678832564,596.4376256925331,0.001676621254131787,3.934089987461029,-0.006595978888644216,0.006595978888644216,11.837777119559023,14.675306314855382,24.257680901580652,0.10125000000000038
