frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.05,1.7,0.45,4.37797871750125,10.15765428293415,0.09844792627763455,4.386615782043629,-0.43185322711893936,0.43185322711893936,12.73728995661191,16.138936641795308,26.647430876199476,0.10097958081451738
1.05,1.65,0.45,4.371880063954725,10.573551341396117,0.09457560357085867,4.38016519930401,-0.41425676746424717,0.41425676746424717,12.534461531737008,15.685595159208713,25.986043552252887,0.10091437807653153
1.05,1.75,0.45,4.371524294263655,9.760770829268239,0.10245092498242474,4.380500019842022,-0.44878627891834505,0.44878627891834505,12.919845992656846,16.569339056951808,27.20842370547226,0.10104672643310475
1.05,1.6,0.45,4.352580016839311,11.007346751126448,0.09084841448259673,4.360502912358,-0.39614477593446973,0.39614477593446973,12.310747205756945,15.209275789346648,25.27920341606563,0.10085404046250229
1.05,1.55,0.45,4.317177506654105,11.45046754328806,0.08733267844474803,4.324731314038282,-0.3776903692088379,0.3776903692088379,12.063870401022077,14.709075751052728,24.526808878784312,0.1008020289839604
1.05,1.5,0.45,4.262414508434621,11.889475757151443,0.0841079977305565,4.269596652946549,-0.35910722559641994,0.35910722559641994,11.791297648367479,14.183588875317216,23.724856598195014,0.100762268483857
1.05,1.45,0.45,4.184547874032838,12.30371156064134,0.081276287652819,4.191361039342647,-0.3406582654904314,0.3406582654904314,11.49061427085534,13.63125415241547,22.869095856321856,0.10073896650935066
1.0,1.65,0.45,3.933004364332947,580.4067527006416,0.0017229296443347438,3.933139894799348,-0.006776523320065432,0.006776523320065432,11.878408335050109,14.762779040180583,24.389565778868743,0.10125000000000034
1.0,1.6,0.45,3.932178043643884,670.5568333789905,0.001491297903804691,3.9322953281194835,-0.005864223779965565,0.005864223779965565,11.666549283258734,14.316428409498524,23.71432808904803,0.10125000000000049
1.0,1.7,0.45,3.920790027076871,512.3370503308536,0.0019518401008754428,3.9209430881559255,-0.007653053952713132,0.007653053952713132,12.06904420208116,15.18699068908661,25.024715517490495,0.10125000000000021
1.0,1.55,0.45,3.9152223961180233,794.0097248925175,0.0012594304183558543,3.915321017605767,-0.0049310743872007,0.0049310743872007,11.431296037696137,13.846904580506818,22.996182986676203,0.1012500000000006
1.025,1.6,0.45,3.904603785378773,119.72386583603996,0.008352553544917143,3.905256162602868,0.032618861204758105,0.032618861204758105,11.899710630111784,14.63822891449662,24.498274144559446,0.10124205132444258
1.025,1.65,0.45,3.9018383191856043,188.9324235153497,0.005292897753565076,3.902251403539357,0.02065421768763963,0.02065421768763963,12.108359369641088,15.092287611168654,25.189333672247603,0.10121540807468014
1.0,1.75,0.45,3.8975812119803153,459.412901244216,0.002176691157979513,3.897750895978541,-0.008484199911283213,0.008484199911283213,12.239829465902275,15.589933396628192,25.62236919171524,0.10125000000000003
1.025,1.55,0.45,3.892463785789086,88.31995097041772,0.011322470053622928,3.893345431530224,0.0440822870569106,0.0440822870569106,11.667451242362272,14.160861993254967,23.76282914341255,0.10128042075006885
1.025,1.7,0.45,3.8872539288700603,459.72396507186676,0.0021752183396479543,3.8874230487482526,0.008455993909607362,0.008455993909607362,12.295793230334462,15.524029996617664,25.839265742766578,0.10120054678646644
1.0,1.5,0.45,3.87901088556299,971.9392354039287,0.0010288709042437303,3.879090707234262,-0.003991083563595566,0.003991083563595566,11.170315351335866,13.35274763156932,22.232521819762184,0.10125000000000071
1.025,1.75,0.45,3.8626938433036937,1036.787990683803,0.000964517344901401,3.8627683574452956,-0.003725707080092282,0.003725707080092282,12.4634995894741,15.934235496244769,26.450649219795544,0.10119696724879054
1.025,1.5,0.45,3.862193464433154,70.56345875829118,0.014171640925729147,3.8632884471664695,0.05474913666576094,0.05474913666576094,11.408960148390484,13.658707872864781,22.97949308295042,0.10132966580089676
1.0,1.45,0.45,3.8196763310005863,1246.5420852697423,0.0008022192044832626,3.8197376163380246,-0.003064266871913484,0.003064266871913484,10.881352812808512,12.832396508105068,21.41934028498878,0.10125000000000077
1.025,1.45,0.45,3.80991632758521,59.26964844306866,0.016872042036162032,3.8112023829214694,0.06430276681297194,0.06430276681297194,11.121735837321268,13.130115848187469,22.144820061993087,0.10138786348582646
0.975,1.6,0.45,3.602151471009217,8.225727828030456,0.12156978943460095,3.610931073614861,-0.4389801302822162,0.4389801302822162,11.104687751574852,13.629176391979536,22.927759142939074,0.10124175766212894
0.975,1.65,0.45,3.5960983051184057,7.925502443378205,0.12617496583267157,3.6051960147981506,-0.4548854839872403,0.4548854839872403,11.301484906887218,14.054762552386183,23.586622797439183,0.1012137307481086
0.975,1.55,0.45,3.5934792958499813,8.520745821562558,0.11736061853522314,3.601933799422444,-0.4227251786231444,0.4227251786231444,10.884928091430854,13.181470809754048,22.228016085640025,0.10128210968880494
