time,x,y,yaw
1.000000000000000021e-03,-9.000000032621270352e-01,-6.607699348015749763e-06,1.275018428906645167e-04
2.000000000000000042e-03,-9.000000472101328253e-01,-2.634162638115444821e-05,5.054283236263167577e-04
3.000000000000000062e-03,-9.000002170416275815e-01,-5.896585357828554308e-05,1.127232555298146154e-03
4.000000000000000083e-03,-9.000006574243221147e-01,-1.041915504286228256e-04,1.986777063744379034e-03
5.000000000000000104e-03,-9.000015629165085684e-01,-1.616762102856217354e-04,3.078308577952599059e-03
6.000000000000000125e-03,-9.000031734434577046e-01,-2.310292163628657747e-04,4.396431786876601328e-03
7.000000000000000146e-03,-9.000057699421459834e-01,-3.118173178670580192e-04,5.936082444428517936e-03
8.000000000000000167e-03,-9.000096701041940817e-01,-4.035699544961968144e-04,7.692500247611630537e-03
9.000000000000001055e-03,-9.000152241907783957e-01,-5.057843990631250009e-04,9.661202001303059034e-03
1.000000000000000194e-02,-9.000228110500475553e-01,-6.179306992892263928e-04,1.183795511736630487e-02
1.100000000000000283e-02,-9.000328343744450343e-01,-7.394564342860232564e-04,1.421875184334181995e-02
1.200000000000000372e-02,-9.000457191211621577e-01,-8.697912181510614182e-04,1.679978447426582616e-02
1.300000000000000461e-02,-9.000619080957880103e-01,-1.008350959031789618e-03,1.957742172202933673e-02
1.400000000000000550e-02,-9.000818587273402560e-01,-1.154541861820179705e-03,2.254818639337418176e-02
1.500000000000000638e-02,-9.001060400307900888e-01,-1.307764169272140897e-03,2.570873448846625400e-02
1.600000000000000727e-02,-9.001349297564013030e-01,-1.467415639511027159e-03,2.905583579596739130e-02
1.700000000000000816e-02,-9.001690117237525213e-01,-1.632894760678682555e-03,3.258635602822074900e-02
1.800000000000000905e-02,-9.002087733370045530e-01,-1.803603705829104342e-03,3.629724051181121985e-02
1.900000000000000994e-02,-9.002547032768395407e-01,-1.978951033082709809e-03,4.018549942437630446e-02
2.000000000000001082e-02,-9.003072893635333251e-01,-2.158354137619389324e-03,4.424819454800268254e-02
2.100000000000001171e-02,-9.003670165848314255e-01,-2.341241463349630347e-03,4.848242749264914525e-02
2.200000000000001260e-02,-9.004343652816748644e-01,-2.527054483106749849e-03,5.288532932953739218e-02
2.300000000000001349e-02,-9.005098094843608791e-01,-2.715249456982427034e-03,5.745405156406593883e-02
2.400000000000001438e-02,-9.005938153914128108e-01,-2.905298979011705640e-03,6.218575837022301961e-02
2.500000000000001527e-02,-9.006868399832628214e-01,-3.096693322829580097e-03,6.707762000338567121e-02
2.600000000000001615e-02,-9.007893297628152274e-01,-3.288941597181405108e-03,7.212680730547361974e-02
2.700000000000001704e-02,-9.009017196150389539e-01,-3.481572722301373712e-03,7.733048721536518733e-02
2.800000000000001793e-02,-9.010244317779223522e-01,-3.674136238182024172e-03,8.268581919797804436e-02
2.900000000000001882e-02,-9.011578749174029568e-01,-3.866202955666864227e-03,8.818995250718944523e-02
3.000000000000001971e-02,-9.013024432992380319e-01,-4.057365461110962190e-03,9.384002420056190841e-02
3.100000000000002059e-02,-9.014585160511972006e-01,-4.247238485091509030e-03,9.963315782741817561e-02
3.200000000000002148e-02,-9.016264565094176398e-01,-4.435459145312514728e-03,1.055664627159700053e-01
3.300000000000002237e-02,-9.018066116432571500e-01,-4.621687073456171024e-03,1.116370337897690107e-01
3.400000000000002326e-02,-9.019993115534818973e-01,-4.805604435285992793e-03,1.178419518485616935e-01
3.500000000000002415e-02,-9.022048690391359926e-01,-4.986915852826290241e-03,1.241782842535648912e-01
3.600000000000002504e-02,-9.024235792289351243e-01,-5.165348236925881853e-03,1.306430859621243445e-01
3.700000000000002592e-02,-9.026557192734947499e-01,-5.340650537984770185e-03,1.372334008615890555e-01
3.800000000000002681e-02,-9.029015478566859709e-01,-5.512593946622568186e-03,1.439462600147723981e-01
3.900000000000002770e-02,-9.031613019564019851e-01,-5.680980143636549240e-03,1.507786314810116435e-01
4.000000000000002859e-02,-9.034351833232923124e-01,-5.845663429772995912e-03,1.577272052210740572e-01
4.100000000000002948e-02,-9.037233603843047858e-01,-6.006548384843102273e-03,1.647883739884917487e-01
4.200000000000003036e-02,-9.040259690440266560e-01,-6.163587696185857112e-03,1.719584732780323755e-01
4.300000000000003125e-02,-9.043431207930228144e-01,-6.316770754126344034e-03,1.792338048569991904e-01
4.400000000000003214e-02,-9.046749022248576910e-01,-6.466123498974296613e-03,1.866106449874648521e-01
4.500000000000003303e-02,-9.050213751829567776e-01,-6.611694883658147948e-03,1.940851891710338450e-01
4.600000000000003392e-02,-9.053825282206708902e-01,-6.753371518366135806e-03,2.016515674404228686e-01
4.700000000000003481e-02,-9.057582919628854867e-01,-6.891003417933971864e-03,2.093019795436428798e-01
4.800000000000003569e-02,-9.061485369736128614e-01,-7.024405147465495602e-03,2.170286522260078954e-01
4.900000000000003658e-02,-9.065531043481517282e-01,-7.153462958149836570e-03,2.248238898768989136e-01
5.000000000000003747e-02,-9.069718018069832244e-01,-7.278102756498261439e-03,2.326800924906229084e-01
5.100000000000003836e-02,-9.074044018037176196e-01,-7.398286638502060697e-03,2.405897148850382194e-01
5.200000000000003925e-02,-9.078505798320604114e-01,-7.513983309648364362e-03,2.485441397218326187e-01
5.300000000000004013e-02,-9.083099044120951371e-01,-7.625130452869000042e-03,2.565326303633021499e-01
5.400000000000004102e-02,-9.087818506932047180e-01,-7.731655029598494266e-03,2.645439707788542760e-01
5.500000000000004191e-02,-9.092658497541263873e-01,-7.833512293750399813e-03,2.725671909908601864e-01
