time,x,y,yaw
1.000000000000000021e-03,-9.000000028328675183e-01,4.064950684612433918e-06,-1.056899920868870313e-04
2.000000000000000042e-03,-9.000000409207685736e-01,1.617935643916101895e-05,-4.185763253049305473e-04
3.000000000000000062e-03,-9.000001877397010297e-01,3.615698209125106644e-05,-9.323820019526108619e-04
4.000000000000000083e-03,-9.000005675709109587e-01,6.374183116586440434e-05,-1.641046199285216322e-03
5.000000000000000104e-03,-9.000013466705920617e-01,9.861845601477625678e-05,-2.538710323554616705e-03
6.000000000000000125e-03,-9.000027288077133703e-01,1.404179704505015280e-04,-3.619703191156152695e-03
7.000000000000000146e-03,-9.000049508799764508e-01,1.887239731183654179e-04,-4.878525707666751463e-03
8.000000000000000167e-03,-9.000082786817157343e-01,2.430783409078651758e-04,-6.309835391689513906e-03
9.000000000000001055e-03,-9.000130027903272545e-01,3.029868558829251768e-04,-7.908431055113985045e-03
1.000000000000000194e-02,-9.000194346371470644e-01,3.679246348720632831e-04,-9.669237914892291064e-03
1.100000000000000283e-02,-9.000279027370612361e-01,4.373413361232203478e-04,-1.158729337146229173e-02
1.200000000000000372e-02,-9.000387491053923883e-01,5.106661214604457655e-04,-1.365773364991874732e-02
1.300000000000000461e-02,-9.000523258687403994e-01,5.873123568654881055e-04,-1.587578146110824040e-02
1.400000000000000550e-02,-9.000689920766550278e-01,6.666820384632066165e-04,-1.823673480220086920e-02
1.500000000000000638e-02,-9.000891107189242790e-01,7.481699347242631859e-04,-2.073595698069527829e-02
1.600000000000000727e-02,-9.001130459513266846e-01,8.311674392726953187e-04,-2.336886791284432593e-02
1.700000000000000816e-02,-9.001411605308969888e-01,9.150661319802244620e-04,-2.613093671761279949e-02
1.800000000000000905e-02,-9.001738134601144914e-01,9.992610490193176709e-04,-2.901767560081765229e-02
1.900000000000000994e-02,-9.002113578379253855e-01,1.083153665221603390e-03,-3.202463500122851997e-02
2.000000000000001082e-02,-9.002541389141660577e-01,1.166154594433921332e-03,-3.514739995115710725e-02
2.100000000000001171e-02,-9.003024923427770387e-01,1.247686015601989773e-03,-3.838158758835389511e-02
2.200000000000001260e-02,-9.003567426281654518e-01,1.327183834031075982e-03,-4.172284574367951526e-02
2.300000000000001349e-02,-9.004172017582215970e-01,1.404099588715901348e-03,-4.516685251977758941e-02
2.400000000000001438e-02,-9.004841680167875451e-01,1.477902117798746140e-03,-4.870931676955247980e-02
2.500000000000001527e-02,-9.005579249678350440e-01,1.548078995140034220e-03,-5.234597937933321843e-02
2.600000000000001615e-02,-9.006387406032094756e-01,1.614137751681343769e-03,-5.607261525986148576e-02
2.700000000000001704e-02,-9.007268613482664055e-01,1.675604515869066891e-03,-5.988482266410231208e-02
2.800000000000001793e-02,-9.008224977069715367e-01,1.732023770243173999e-03,-6.377711925379007940e-02
2.900000000000001882e-02,-9.009258228475784946e-01,1.782960384823395472e-03,-6.774358280072076410e-02
3.000000000000001971e-02,-9.010369809708511646e-01,1.828007615345406123e-03,-7.177833568809700859e-02
3.100000000000002059e-02,-9.011560874602942972e-01,1.866786915281415382e-03,-7.587555399049740468e-02
3.200000000000002148e-02,-9.012832286029949236e-01,1.898947756831581568e-03,-8.002947679830670069e-02
3.300000000000002237e-02,-9.014184618033133090e-01,1.924167492443451533e-03,-8.423441566602607455e-02
3.400000000000002326e-02,-9.015618160043250562e-01,1.942151054811380728e-03,-8.848476407076534545e-02
3.500000000000002415e-02,-9.017132923022980195e-01,1.952630515257292032e-03,-9.277500677772518300e-02
3.600000000000002504e-02,-9.018728647394367304e-01,1.955364519174496163e-03,-9.709972902033681130e-02
3.700000000000002592e-02,-9.020404812601585665e-01,1.950137615817137959e-03,-1.014536254136914478e-01
3.800000000000002681e-02,-9.022160648162613761e-01,1.936759498200157914e-03,-1.058315085307433429e-01
3.900000000000002770e-02,-9.023995146065153516e-01,1.915064167276492313e-03,-1.102283170813129348e-01
4.000000000000002859e-02,-9.025907074364571958e-01,1.884909032934034556e-03,-1.146391236439759653e-01
4.100000000000002948e-02,-9.027894991845211159e-01,1.846173962756547660e-03,-1.190591419103451398e-01
4.200000000000003036e-02,-9.029957263611575469e-01,1.798760287961387316e-03,-1.234837334098978362e-01
4.300000000000003125e-02,-9.032092077483149239e-01,1.742589774499758715e-03,-1.279084136912688463e-01
4.400000000000003214e-02,-9.034297352369876632e-01,1.677610887366953740e-03,-1.323287113050284347e-01
4.500000000000003303e-02,-9.036570484056185570e-01,1.603816463005947046e-03,-1.367394792917747959e-01
4.600000000000003392e-02,-9.038908395261731066e-01,1.521239794101347798e-03,-1.411353418549604888e-01
4.700000000000003481e-02,-9.041307772499788120e-01,1.429938552988452294e-03,-1.455111026327716439e-01
4.800000000000003569e-02,-9.043765122606672868e-01,1.329990929861357696e-03,-1.498617526353600016e-01
4.900000000000003658e-02,-9.046276788572873429e-01,1.221494442601611663e-03,-1.541824773291938511e-01
5.000000000000003747e-02,-9.048838979493207813e-01,1.104563930128921179e-03,-1.584686628377549034e-01
5.100000000000003836e-02,-9.051447790088819056e-01,9.793294402478114336e-04,-1.627158970527027293e-01
5.200000000000003925e-02,-9.054099250751052042e-01,8.459346112595911293e-04,-1.669199739040941322e-01
5.300000000000004013e-02,-9.056789342496591733e-01,7.045359253983751735e-04,-1.710769101645415458e-01
5.400000000000004102e-02,-9.059513997884659497e-01,5.553036218551299363e-04,-1.751829426914546517e-01
5.500000000000004191e-02,-9.062269100323030457e-01,3.984246492105825155e-04,-1.792345072408848550e-01
5.600000000000004280e-02,-9.065050504150380384e-01,2.341049923804683353e-04,-1.832282298340259241e-01
5.700000000000004369e-02,-9.067854059542189704e-01,6.255984694830685200e-05,-1.871609571597756538e-01
5.800000000000004458e-02,-9.070675635373479651e-01,-1.160004462802954883e-04,-1.910297809263514779e-01
5.900000000000004546e-02,-9.073511015030351068e-01,-3.013663020717260999e-04,-1.948319396405620574e-01
6.000000000000004635e-02,-9.076355781705300885e-01,-4.933082252293607972e-04,-1.985644853851720737e-01
6.100000000000004724e-02,-9.079205341827856213e-01,-6.915727828346596162e-04,-2.022245657308459066e-01
6.200000000000004813e-02,-9.082055220154831021e-01,-8.959012011834910361e-04,-2.058095391442230360e-01
6.300000000000004208e-02,-9.084901046393342172e-01,-1.106028746266418672e-03,-2.093169738930347190e-01
6.400000000000004297e-02,-9.087738576139057223e-01,-1.321686618744710717e-03,-2.127446471210110990e-01
6.500000000000004385e-02,-9.090563710431857070e-01,-1.542603891791949344e-03,-2.160905435733488367e-01
6.600000000000004474e-02,-9.093372513785610289e-01,-1.768509347872038173e-03,-2.193528537981896120e-01
6.700000000000004563e-02,-9.096161230831231181e-01,-1.999133175694278730e-03,-2.225299717891598417e-01
6.800000000000004652e-02,-9.098926301634477909e-01,-2.234208517556346418e-03,-2.256204920904289757e-01
6.900000000000004741e-02,-9.101664375721023603e-01,-2.473472868583681539e-03,-2.286232064080212789e-01
7.000000000000004829e-02,-9.104372324819364204e-01,-2.716669332078425203e-03,-2.315370997785926865e-01
7.100000000000004918e-02,-9.107047254265983049e-01,-2.963547729340598735e-03,-2.343613463460014756e-01
7.200000000000005007e-02,-9.109686465875272976e-01,-3.213860629874831787e-03,-2.370952787816616447e-01
7.300000000000005096e-02,-9.112287461782645481e-01,-3.467356871968974019e-03,-2.397383366031097252e-01
7.400000000000005185e-02,-9.114847945283348629e-01,-3.723782884763437995e-03,-2.422901005046517176e-01
7.500000000000005274e-02,-9.117365879864380851e-01,-3.982883829250938312e-03,-2.447502985933802111e-01
7.600000000000005362e-02,-9.119839463125983814e-01,-4.244401846687728685e-03,-2.471188001026809744e-01
7.700000000000005451e-02,-9.122267120607346902e-01,-4.508082726112583316e-03,-2.493956139601978816e-01
7.800000000000005540e-02,-9.124647490584925080e-01,-4.773685590477028118e-03,-2.515808766110222416e-01
7.900000000000005629e-02,-9.126979387778487718e-01,-5.040981923253584629e-03,-2.536748364514720411e-01
8.000000000000005718e-02,-9.129261756633977321e-01,-5.309752933870648395e-03,-2.556778419104748235e-01
8.100000000000005806e-02,-9.131493664107793728e-01,-5.579785041619544916e-03,-2.575903404686582521e-01
8.200000000000005895e-02,-9.133674308911823303e-01,-5.850871648677646863e-03,-2.594128694554045378e-01
8.300000000000005984e-02,-9.135803009413796527e-01,-6.122813974728080755e-03,-2.611460526012276406e-01
8.400000000000006073e-02,-9.137879196467936227e-01,-6.395422319451893323e-03,-2.627905981959252624e-01
8.500000000000006162e-02,-9.139902406584734518e-01,-6.668517088763425971e-03,-2.643472976585874989e-01
8.600000000000006251e-02,-9.141872276220516236e-01,-6.941929653473510875e-03,-2.658170242115359128e-01
8.700000000000006339e-02,-9.143788537020167695e-01,-7.215503052572458387e-03,-2.672007315574427277e-01
8.800000000000006428e-02,-9.145651011925518548e-01,-7.489092556974386028e-03,-2.684994525154313916e-01
8.900000000000006517e-02,-9.147459612106789706e-01,-7.762566109053126162e-03,-2.697142975888860428e-01
9.000000000000006606e-02,-9.149214334705098040e-01,-8.035804624032805155e-03,-2.708464533915226902e-01
9.100000000000006695e-02,-9.150915261461500805e-01,-8.308701730673107022e-03,-2.718971797609928132e-01
9.200000000000006783e-02,-9.152562555257713894e-01,-8.581161767105938143e-03,-2.728678070975190662e-01
9.300000000000006872e-02,-9.154156460682228991e-01,-8.853099989431900685e-03,-2.737597360813603942e-01
9.400000000000006961e-02,-9.155697291517181924e-01,-9.124444655957963946e-03,-2.745744316642860228e-01
9.500000000000007050e-02,-9.157185413753051728e-01,-9.395139948340236469e-03,-2.753134234445421269e-01
9.600000000000007139e-02,-9.158621243630621356e-01,-9.665141417983469374e-03,-2.759783065923247514e-01
9.700000000000007228e-02,-9.160005267760978898e-01,-9.934413577730838441e-03,-2.765707390172542079e-01
9.800000000000007316e-02,-9.161338049899286906e-01,-1.020293346884076913e-02,-2.770924362962767784e-01
9.900000000000007405e-02,-9.162620228951384727e-01,-1.047069034803865817e-02,-2.775451694490050913e-01
1.000000000000000749e-01,-9.163852510943871765e-01,-1.073768525436369359e-02,-2.779307640382525646e-01
1.010000000000000758e-01,-9.165035669510227523e-01,-1.100392848599018869e-02,-2.782510967641517730e-01
1.020000000000000767e-01,-9.166170544725283920e-01,-1.126942835968036682e-02,-2.785080639861104990e-01
1.030000000000000776e-01,-9.167258042781840643e-01,-1.153418189045452014e-02,-2.787035365332459214e-01
1.040000000000000785e-01,-9.168299135054377436e-01,-1.179816735524930049e-02,-2.788393539120598286e-01
1.050000000000000794e-01,-9.169294854731855349e-01,-1.206134716601231505e-02,-2.789173266165619336e-01
1.060000000000000803e-01,-9.170246294081302318e-01,-1.232366910431137441e-02,-2.789392386986221384e-01
1.070000000000000812e-01,-9.171154601820634689e-01,-1.258506754553589957e-02,-2.789068506633141653e-01
1.080000000000000820e-01,-9.172020980574578930e-01,-1.284546483881671142e-02,-2.788219034139414187e-01
1.090000000000000829e-01,-9.172846684155566699e-01,-1.310477267720056016e-02,-2.786861219021619651e-01
1.100000000000000838e-01,-9.173633014612138092e-01,-1.336289343448482381e-02,-2.785012178720661091e-01
1.110000000000000847e-01,-9.174381319001465585e-01,-1.361972144965256648e-02,-2.782688924872496194e-01
1.120000000000000856e-01,-9.175092985971010640e-01,-1.387514432622632965e-02,-2.779908388486350690e-01
1.130000000000000865e-01,-9.175769442120119690e-01,-1.412904421594962656e-02,-2.776687443561316471e-01
1.140000000000000874e-01,-9.176412148146282366e-01,-1.438129907532254004e-02,-2.773042928764128945e-01
1.150000000000000883e-01,-9.177022594797923372e-01,-1.463178389074498709e-02,-2.768991667197385209e-01
1.160000000000000892e-01,-9.177602298643163792e-01,-1.488037185165480558e-02,-2.764550483626116995e-01
