time,x,y,yaw
1.000000000000000021e-03,-9.000000001536255789e-01,-5.021604815025337842e-06,4.756122388493403704e-05
2.000000000000000042e-03,-9.000000030254177164e-01,-2.002121345334728630e-05,1.888600809190576189e-04
3.000000000000000062e-03,-9.000000141623799577e-01,-4.481702106817753162e-05,4.219991674961208103e-04
4.000000000000000083e-03,-9.000000431258909916e-01,-7.923082635113987138e-05,7.449866908317876076e-04
5.000000000000000104e-03,-9.000001028334237985e-01,-1.230728372333955711e-04,1.155742554337590988e-03
6.000000000000000125e-03,-9.000002092633035966e-01,-1.761421793435857808e-04,1.652104378654956941e-03
7.000000000000000146e-03,-9.000003811430005163e-01,-2.382274227045177994e-04,2.231833448823380712e-03
8.000000000000000167e-03,-9.000006396346121873e-01,-3.091071257729782751e-04,2.892620579812741483e-03
9.000000000000001055e-03,-9.000010080117584188e-01,-3.885503958251934620e-04,3.632091893763924901e-03
1.000000000000000194e-02,-9.000015113380588350e-01,-4.763174643552803289e-04,4.447814502598159726e-03
1.100000000000000283e-02,-9.000021761417568156e-01,-5.721602761706856555e-04,5.337302090760812426e-03
1.200000000000000372e-02,-9.000030300943335781e-01,-6.758230905890560969e-04,6.298020393500458440e-03
1.300000000000000461e-02,-9.000041016937252447e-01,-7.870430930721483698e-04,7.327392566688061340e-03
1.400000000000000550e-02,-9.000054199545147737e-01,-9.055510155223100988e-04,8.422804444708067995e-03
1.500000000000000638e-02,-9.000070141071120355e-01,-1.031071763391899765e-03,9.581609683404820194e-03
1.600000000000000727e-02,-9.000089133077594505e-01,-1.163325047696783798e-03,1.080113478545041694e-02
1.700000000000000816e-02,-9.000111463610208640e-01,-1.302026019993074435e-03,1.207868400582137389e-02
1.800000000000000905e-02,-9.000137414562270344e-01,-1.446885908357509187e-03,1.341154413533867003e-02
1.900000000000000994e-02,-9.000167259191635960e-01,-1.597612652415980605e-03,1.479698916044713299e-02
2.000000000000001082e-02,-9.000201259917712804e-01,-1.753911535553764889e-03,1.623228479754044301e-02
2.100000000000001171e-02,-9.000239666258719184e-01,-1.915485812312323066e-03,1.771469290027793617e-02
2.200000000000001260e-02,-9.000282712956222397e-01,-2.082037329150354665e-03,1.924147573872118933e-02
2.300000000000001349e-02,-9.000330618143185246e-01,-2.253267136672509885e-03,2.080990014891639928e-02
2.400000000000001438e-02,-9.000383581836943758e-01,-2.428876091770670875e-03,2.241724155176046118e-02
2.500000000000001527e-02,-9.000441784615956786e-01,-2.608565447946908922e-03,2.406078784010011115e-02
2.600000000000001615e-02,-9.000505386498716121e-01,-2.792037432269578456e-03,2.573784313309370950e-02
2.700000000000001704e-02,-9.000574526023995547e-01,-2.978995807496553905e-03,2.744573139696047243e-02
2.800000000000001793e-02,-9.000649319530120707e-01,-3.169146417998147669e-03,2.918179993134255995e-02
2.900000000000001882e-02,-9.000729860629469448e-01,-3.362197718213000286e-03,3.094342272061283844e-02
3.000000000000001971e-02,-9.000816219873093438e-01,-3.557861282474150677e-03,3.272800364957716840e-02
3.100000000000002059e-02,-9.000908444599118319e-01,-3.755852295150130526e-03,3.453297958314475308e-02
3.200000000000002148e-02,-9.001006558957463932e-01,-3.955890020150620856e-03,3.635582330967399023e-02
3.300000000000002237e-02,-9.001110564102470235e-01,-4.157698248953956011e-03,3.819404634784338143e-02
3.400000000000002326e-02,-9.001220438544096369e-01,-4.361005726420286166e-03,4.004520161704696463e-02
3.500000000000002415e-02,-9.001336138647667573e-01,-4.565546553758681458e-03,4.190688597146973587e-02
3.600000000000002504e-02,-9.001457599271474042e-01,-4.771060568120433221e-03,4.377674259815961949e-02
3.700000000000002592e-02,-9.001584734531058452e-01,-4.977293698391116461e-03,4.565246327957684508e-02
3.800000000000002681e-02,-9.001717438678632499e-01,-5.183998296855063526e-03,4.753179052126742937e-02
3.900000000000002770e-02,-9.001855587085761945e-01,-5.390933446498991088e-03,4.941251954547339759e-02
4.000000000000002859e-02,-9.001999037317351959e-01,-5.597865243817223835e-03,5.129250015165649074e-02
