time,x,y,yaw
1.000000000000000021e-03,-9.000000032621270352e-01,-6.607699348015749763e-06,1.275018428906645167e-04
2.000000000000000042e-03,-9.000000472101328253e-01,-2.634162638115444821e-05,5.054283236263167577e-04
3.000000000000000062e-03,-9.000002170416275815e-01,-5.896585357828554308e-05,1.127232555298146154e-03
4.000000000000000083e-03,-9.000006574243221147e-01,-1.041915504286228256e-04,1.986777063744379034e-03
5.000000000000000104e-03,-9.000015629165085684e-01,-1.616762102856217354e-04,3.078308577952599059e-03
6.000000000000000125e-03,-9.000031734434577046e-01,-2.310292163628657747e-04,4.396431786876601328e-03
7.000000000000000146e-03,-9.000057699421459834e-01,-3.118173178670580192e-04,5.936082444428517936e-03
8.000000000000000167e-03,-9.000096701041940817e-01,-4.035699544961968144e-04,7.692500247611630537e-03
9.000000000000001055e-03,-9.000152241907783957e-01,-5.057843990631250009e-04,9.661202001303059034e-03
1.000000000000000194e-02,-9.000228110500475553e-01,-6.179306992892263928e-04,1.183795511736630487e-02
1.100000000000000283e-02,-9.000328343744450343e-01,-7.394564342860232564e-04,1.421875184334181995e-02
1.200000000000000372e-02,-9.000457186096409989e-01,-8.697968436525704838e-04,1.679972321675850949e-02
1.300000000000000461e-02,-9.000619036841341902e-01,-1.008384715623811267e-03,1.957700088217344953e-02
1.400000000000000550e-02,-9.000818411937450136e-01,-1.154655371080115511e-03,2.254680271656599871e-02
1.500000000000000638e-02,-9.001059906201106520e-01,-1.308045090425591361e-03,2.570544794951965320e-02
1.600000000000000727e-02,-9.001348161575033480e-01,-1.467996150332551153e-03,2.904933685821728395e-02
1.700000000000000816e-02,-9.001687837128230507e-01,-1.633960757326247126e-03,3.257493257551548338e-02
1.800000000000000905e-02,-9.002083581583881777e-01,-1.805404538187005414e-03,3.627874502307842225e-02
1.900000000000000994e-02,-9.002540008432774465e-01,-1.981809622961017148e-03,4.015731694173589605e-02
2.000000000000001082e-02,-9.003061673578273139e-01,-2.162677328392981213e-03,4.420721195788774455e-02
2.100000000000001171e-02,-9.003653055437279562e-01,-2.347530453387036697e-03,4.842500459774359833e-02
2.200000000000001260e-02,-9.004318487821473260e-01,-2.535925106929515227e-03,5.280702844007418434e-02
2.300000000000001349e-02,-9.005062124086316011e-01,-2.727451437313122007e-03,5.734922240744752542e-02
2.400000000000001438e-02,-9.005887913217288654e-01,-2.921736313160616660e-03,6.204745214693269811e-02
2.500000000000001527e-02,-9.006799613350463529e-01,-3.118436251935641224e-03,6.689755410853588657e-02
2.600000000000001615e-02,-9.007800776088117356e-01,-3.317239632211865796e-03,7.189533617441361268e-02
2.700000000000001704e-02,-9.008894737698366351e-01,-3.517866967234162257e-03,7.703657962439172668e-02
2.800000000000001793e-02,-9.010084612621929168e-01,-3.720070868238167794e-03,8.231704225414114562e-02
2.900000000000001882e-02,-9.011373289114321672e-01,-3.923635726885810193e-03,8.773246246828485251e-02
3.000000000000001971e-02,-9.012763426850262105e-01,-4.128377146106032569e-03,9.327856417908793329e-02
3.100000000000002059e-02,-9.014257456317831263e-01,-4.334141148186865244e-03,9.895106235158186714e-02
3.200000000000002148e-02,-9.015857491387018197e-01,-4.540800588055615705e-03,1.047454091335589255e-01
3.300000000000002237e-02,-9.017565156633493562e-01,-4.748113894631589282e-03,1.106552570895389109e-01
3.400000000000002326e-02,-9.019381567911630704e-01,-4.955782293134924910e-03,1.166725948555117492e-01
3.500000000000002415e-02,-9.021307429947823531e-01,-5.163434510068787286e-03,1.227892694346708197e-01
3.600000000000002504e-02,-9.023343093163400663e-01,-5.370762040174281715e-03,1.289971698779416587e-01
3.700000000000002592e-02,-9.025488310725146013e-01,-5.577425313275707897e-03,1.352873120092153159e-01
3.800000000000002681e-02,-9.027742304327206480e-01,-5.783091390503702911e-03,1.416496776144255121e-01
3.900000000000002770e-02,-9.030103741642604431e-01,-5.987421646241941620e-03,1.480742882866046828e-01
4.000000000000002859e-02,-9.032570900248015899e-01,-6.190120792559483665e-03,1.545512872813115945e-01
4.100000000000002948e-02,-9.035141654633735975e-01,-6.390923085952848748e-03,1.610709590778607869e-01
4.200000000000003036e-02,-9.037813496902070698e-01,-6.589590383587251576e-03,1.676237479923891049e-01
4.300000000000003125e-02,-9.040583559132875369e-01,-6.785910157405372622e-03,1.742002757574892258e-01
4.400000000000003214e-02,-9.043448637136313195e-01,-6.979693492604410743e-03,1.807913580018654931e-01
4.500000000000003303e-02,-9.046405215324685445e-01,-7.170773094125837410e-03,1.873880195806733318e-01
4.600000000000003392e-02,-9.049449492448071730e-01,-7.359001321998681622e-03,1.939815087228589641e-01
4.700000000000003481e-02,-9.052577407952219213e-01,-7.544248273651021908e-03,2.005633099759277782e-01
4.800000000000003569e-02,-9.055784668731517995e-01,-7.726399928683569396e-03,2.071251559411672050e-01
4.900000000000003658e-02,-9.059066776064925719e-01,-7.905356369104832304e-03,2.136590378034861903e-01
5.000000000000003747e-02,-9.062419052538069897e-01,-8.081030085670459773e-03,2.201572146697727828e-01
5.100000000000003836e-02,-9.065836668770519413e-01,-8.253344378769622569e-03,2.266122217380887316e-01
5.200000000000003925e-02,-9.069314669783024030e-01,-8.422231860259865588e-03,2.330168773271967253e-01
5.300000000000004013e-02,-9.072848000855436856e-01,-8.587633060778199212e-03,2.393642888019366921e-01
5.400000000000004102e-02,-9.076431532741736641e-01,-8.749495145355778991e-03,2.456478574349163502e-01
5.500000000000004191e-02,-9.080060086124086549e-01,-8.907770738631526353e-03,2.518612822489461056e-01
