time,x,y,yaw
1.000000000000000021e-03,-9.000000019914085048e-01,9.112305759395589178e-07,-6.950675081827214672e-05
2.000000000000000042e-03,-9.000000287151700418e-01,3.624330502771666573e-06,-2.750774290373438286e-04
3.000000000000000062e-03,-9.000001315010943692e-01,8.106312822109273952e-06,-6.121725268147305311e-04
4.000000000000000083e-03,-9.000003968298017076e-01,1.426517838015728401e-05,-1.076399506000251700e-03
5.000000000000000104e-03,-9.000009398021305840e-01,2.196664628828504107e-05,-1.663502914722417465e-03
6.000000000000000125e-03,-9.000019007049248065e-01,3.103869285514537779e-05,-2.369354082861644360e-03
7.000000000000000146e-03,-9.000034416466804466e-01,4.127599472064646946e-05,-3.189940641379592715e-03
8.000000000000000167e-03,-9.000057433131716245e-01,5.244424437145234208e-05,-4.121356091952340338e-03
9.000000000000001055e-03,-9.000090018504725009e-01,6.428431182842198055e-05,-5.159789626780820516e-03
1.000000000000000194e-02,-9.000134258810627008e-01,7.651623009896635352e-05,-6.301516370162445896e-03
1.100000000000000283e-02,-9.000192336596243292e-01,8.884298628009101861e-05,-7.542888187548720674e-03
1.200000000000000372e-02,-9.000266503828324716e-01,1.009541034930339087e-04,-8.880325180249160760e-03
1.300000000000000461e-02,-9.000359056592267537e-01,1.125290025717484710e-04,-1.031030795747679002e-02
1.400000000000000550e-02,-9.000472311444278617e-01,1.232401357021406518e-04,-1.182937075224051171e-02
1.500000000000000638e-02,-9.000608583453451050e-01,1.327558872638578968e-04,-1.343409542409270893e-02
1.600000000000000727e-02,-9.000770165955257474e-01,1.407432399266883571e-04,-1.512110637024844523e-02
1.700000000000000816e-02,-9.000959312024134906e-01,1.468702065982041560e-04,-1.688706634731935649e-02
1.800000000000000905e-02,-9.001178217660155134e-01,1.508080311071191559e-04,-1.872867318897564193e-02
1.900000000000000994e-02,-9.001429006673250521e-01,1.522331625402051358e-04,-2.064265739030997360e-02
2.000000000000001082e-02,-9.001713717238111201e-01,1.508290099388465144e-04,-2.262578051750717412e-02
2.100000000000001171e-02,-9.002034290083665846e-01,1.462874856016371794e-04,-2.467483439154779037e-02
2.200000000000001260e-02,-9.002392558273017986e-01,1.383103465464885495e-04,-2.678664098697314949e-02
2.300000000000001349e-02,-9.002790238522916377e-01,1.266103447608024624e-04,-2.895805298106448808e-02
2.400000000000001438e-02,-9.003228924006193568e-01,1.109121977190818953e-04,-3.118595488496979720e-02
2.500000000000001527e-02,-9.003710078576223630e-01,9.095339127118684530e-05,-3.346726468617104711e-02
2.600000000000001615e-02,-9.004235032349273693e-01,6.648482740950756309e-05,-3.579893593104451627e-02
2.700000000000001704e-02,-9.004804912123519633e-01,3.728164649480225634e-05,-3.817771542282554637e-02
2.800000000000001793e-02,-9.005420563632019482e-01,3.151383229482718207e-06,-4.059967672037464309e-02
2.900000000000001882e-02,-9.006082552365870519e-01,-3.606778509174235481e-05,-4.306077003490037247e-02
3.000000000000001971e-02,-9.006791229802064702e-01,-8.051988195800774406e-05,-4.555698189020349759e-02
3.100000000000002059e-02,-9.007546726802433401e-01,-1.303293049124132352e-04,-4.808434154827703755e-02
3.200000000000002148e-02,-9.008348957278038416e-01,-1.856011110045185930e-04,-5.063892760442233187e-02
3.300000000000002237e-02,-9.009197623629439100e-01,-2.464214403221642868e-04,-5.321687466089249086e-02
3.400000000000002326e-02,-9.010092223825476587e-01,-3.128580626800547826e-04,-5.581437999600798172e-02
3.500000000000002415e-02,-9.011032059983348219e-01,-3.849610340145304122e-04,-5.842771015311867822e-02
3.600000000000002504e-02,-9.012016248318776013e-01,-4.627634505240951768e-04,-6.105320737982383034e-02
3.700000000000002592e-02,-9.013043727212290968e-01,-5.462823091347268623e-04,-6.368729544494028394e-02
3.800000000000002681e-02,-9.014113269621886193e-01,-6.355194438878997154e-04,-6.632648423785778014e-02
3.900000000000002770e-02,-9.015223501184799204e-01,-7.304624539469783961e-04,-6.896737730685552348e-02
4.000000000000002859e-02,-9.016372922292793524e-01,-8.310856672963384817e-04,-7.160667817412563751e-02
4.100000000000002948e-02,-9.017559920539213181e-01,-9.373511835724102070e-04,-7.424119511127182103e-02
