time,x,y,yaw
1.000000000000000021e-03,-3.800000003262126835e+00,-6.607699348016182597e-06,1.275018428906642728e-04
2.000000000000000042e-03,-3.800000047210132514e+00,-2.634162638116083145e-05,5.054283236263157819e-04
3.000000000000000062e-03,-3.800000217041627604e+00,-5.896585357831316313e-05,1.127232555298144853e-03
4.000000000000000083e-03,-3.800000657424321915e+00,-1.041915504286252108e-04,1.986777063744377299e-03
5.000000000000000104e-03,-3.800001562916508480e+00,-1.616762102856384863e-04,3.078308577952596891e-03
6.000000000000000125e-03,-3.800003173443457616e+00,-2.310292163628982465e-04,4.396431786876598725e-03
7.000000000000000146e-03,-3.800005769942145673e+00,-3.118173178671109825e-04,5.936082444428515334e-03
8.000000000000000167e-03,-3.800009670104194104e+00,-4.035699544962659865e-04,7.692500247611627068e-03
9.000000000000001055e-03,-3.800015224190778085e+00,-5.057843990631827888e-04,9.661202001303055564e-03
1.000000000000000194e-02,-3.800022811050047356e+00,-6.179306992892838555e-04,1.183795511736630141e-02
1.100000000000000283e-02,-3.800032834374444946e+00,-7.394564342861076073e-04,1.421875184334181648e-02
1.200000000000000372e-02,-3.800045718609641021e+00,-8.697968436526201403e-04,1.679972321675850255e-02
1.300000000000000461e-02,-3.800061903684134101e+00,-1.008384715623867429e-03,1.957700088217344259e-02
1.400000000000000550e-02,-3.800081841193744925e+00,-1.154655371080156277e-03,2.254680271656599178e-02
1.500000000000000638e-02,-3.800105990620110674e+00,-1.308045090425605890e-03,2.570544794951964626e-02
1.600000000000000727e-02,-3.800134816157503259e+00,-1.467996150332622493e-03,2.904933685821727701e-02
1.700000000000000816e-02,-3.800168783712822851e+00,-1.633960757326295482e-03,3.257493257551547644e-02
1.800000000000000905e-02,-3.800208358158387867e+00,-1.805404538187036856e-03,3.627874502307841531e-02
1.900000000000000994e-02,-3.800254000843277247e+00,-1.981809622961037964e-03,4.015731694173588912e-02
2.000000000000001082e-02,-3.800306167357827114e+00,-2.162677328392999861e-03,4.420721195788773761e-02
2.100000000000001171e-02,-3.800365305543727867e+00,-2.347530453387037565e-03,4.842500459774358446e-02
2.200000000000001260e-02,-3.800431848782147348e+00,-2.535925106929540814e-03,5.280702844007417046e-02
2.300000000000001349e-02,-3.800506212408631512e+00,-2.727451437313154099e-03,5.734922240744751154e-02
2.400000000000001438e-02,-3.800588791321728888e+00,-2.921736313160676508e-03,6.204745214693268424e-02
2.500000000000001527e-02,-3.800679961335046375e+00,-3.118436251935666811e-03,6.689755410853587270e-02
2.600000000000001615e-02,-3.800780077608811425e+00,-3.317239632211827199e-03,7.189533617441359881e-02
2.700000000000001704e-02,-3.800889473769836435e+00,-3.517866967234160088e-03,7.703657962439171281e-02
