time_s,x_px,y_px,area_px
0.0,528.4479166666666,344.0729166666667,96
0.2,530.2894736842105,375.94736842105266,114
0.4,530.8252427184466,377.97087378640776,103
0.6,530.875,379.5,96
0.8,525.8345153664303,382.5224586288416,423
1.0,519.0899470899471,385.86772486772486,189
1.2,524.8761061946902,383.84513274336285,452
1.4,519.7643979057592,387.3089005235602,191
1.6,528.8343373493976,384.27710843373495,664
1.8,526.0,374.0,25
2.0,531.0,387.5,40
2.2,513.9046153846153,405.77846153846156,325
2.4,514.6985815602837,418.3581560283688,564
2.6,525.5573248407643,427.0031847133758,628
2.8,535.3299389002036,442.73116089613035,491
3.0,533.7432432432432,448.7837837837838,74
3.4,508.5,469.5,72
3.6,521.9533678756477,497.37651122625215,579
3.8,537.6951754385965,515.8662280701755,456
4.0,534.0719178082192,531.0410958904109,292
4.6,512.1751412429378,589.5536723163842,177
4.8,532.5563909774436,608.0802005012531,399
5.0,535.6911111111111,627.4755555555555,450
5.4,500.0,671.0,25
5.6,514.5352112676056,692.4929577464789,71
5.8,535.3071748878924,840.5246636771301,446
6.0,532.5,860.5,36
6.2,530.5,898.5,36
6.4,528.5,930.5,60
6.6,528.3947368421053,935.078947368421,152
7.0,535.0693069306931,1002.039603960396,101
7.4,533.0,1027.5,40
8.2,541.0,1144.0,25
9.0,569.5,1206.5,72
9.2,560.5,1234.5,36
10.8,552.508604206501,1407.6309751434035,523
11.0,556.5,1415.5,48
11.4,566.4736842105264,1455.578947368421,95
11.8,564.5,1490.5,36
12.0,572.5,1512.5,36
12.8,562.1774193548387,1588.0483870967741,124
13.0,570.4170616113744,1609.60663507109,211
