seq,rtt_ms
44,415.16
45,296.66
46,2846.10
47,327.17
48,9.10
49,35.00
50,9.52
51,51.18
52,457.86
53,265.69
54,10.11
55,15.59
56,164.39
57,120.35
58,9.27
59,26.66
60,418.06
61,16.34
62,344.54
63,2213.45
64,10.91
65,11.60
66,4.61
67,6.17
68,7.95
69,7.98
70,13.70
71,43.83
72,7.66
73,10.43
74,6.73
75,6.65
76,4.59
77,6.86
78,6.50
79,6.51
80,6.76
81,6.62
82,7.65
83,5.86
84,9.71
85,4.22
86,31.98
87,5.58
88,5.09
89,4.98
90,5.34
91,4.15
92,8.20
93,3.99
94,31.33
95,16.94
96,84.21
97,20.61
98,44.76
99,14.93
100,9.64
101,7.80
102,7.44
103,150.06
104,9.56
105,15.77
106,4.79
107,8.14
108,12.49
109,60.46
110,11.67
111,222.26
112,162.55
113,12.89
114,29.86
115,9.77
116,48.57
117,8.57
118,5.57
119,5.62
120,5.84
121,7.54
122,6.58
123,6.32
124,9.33
125,9.50
126,10.38
127,10.66
128,22.03
129,7.00
130,7.53
131,7.84
132,12.18
133,44.24
134,8.71
135,11.48
136,9.00
137,5.26
138,10.07
139,10.48
140,6.03
141,5.89
142,12.07
143,5.62
144,6.19
145,7.82
146,11.99
147,5.53
148,10.00
149,7.69
150,7.88
151,4.81
152,4.55
153,14.71
154,10.59
155,5.93
156,6.44
157,8.84
158,10.30
159,8.55
160,8.72
161,11.51
162,3.95
163,5.59
164,5.52
165,27.75
166,10.10
167,5.71
168,6.40
169,11.67
170,12.11
171,10.41
172,10.94
173,5.74
174,9.12
175,5.80
176,5.98
177,15.06
178,6.43
179,7.38
180,5.12
181,11.24
182,4.85
183,6.96
184,11.38
185,11.04
186,5.18
187,10.56
188,6.29
189,11.65
190,9.12
191,10.33
192,6.18
193,10.51
194,7.79
195,8.30
196,11.53
197,8.39
198,4.44
199,6.45
200,6.93
201,11.95
202,9.35
203,15.88
204,9.29
205,10.82
206,12.30
207,10.96
208,6.35
209,9.19
210,6.45
211,9.61
212,6.38
213,8.50
214,10.60
215,10.42
216,8.59
217,10.95
218,13.11
219,6.85
220,4.93
221,12.50
222,8.50
223,10.86
224,7.93
225,10.76
226,10.60
227,8.30
228,5.03
229,9.21
230,4.70
231,7.25
232,6.79
233,11.01
234,4.57
235,4.49
236,6.96
237,7.17
238,7.42
239,8.95
240,31.91
241,10.17
242,6.36
243,10.27
244,9.84
245,13.00
246,4.72
247,6.59
248,8.80
249,20.86
250,5.67
251,12.38
252,8.38
253,13.60
254,5.39
255,4.35
256,6.31
257,9.25
258,10.04
259,10.17
260,7.43
261,18.75
262,6.49
263,7.75
264,4.60
265,5.25
266,7.28
267,5.55
268,11.07
269,10.85
270,9.76
271,14.88
272,9.34
273,11.55
274,11.93
275,5.07
276,9.23
277,10.97
278,10.47
279,5.47
280,10.13
281,14.52
282,7.23
283,52.89
284,60.31
285,22.06
286,8.59
287,9.51
288,16.62
289,9.38
290,7.06
291,9.68
292,4.75
293,12.68
294,5.60
295,6.38
296,4.53
297,4.25
298,12.40
299,5.42
300,7.83
301,4.36
302,9.53
303,4.31
304,5.05
305,7.00
306,4.78
307,6.62
308,4.43
309,8.43
310,5.76
311,4.90
312,8.04
313,4.05
314,9.37
315,6.48
316,4.84
317,8.33
318,8.70
319,6.58
320,5.04
321,5.81
322,6.64
323,5.67
324,5.86
325,7.40
326,5.68
327,8.61
328,4.08
329,7.52
330,20.23
331,25.01
332,16.21
333,5.06
334,6.34
335,17.61
336,7.83
337,6.70
338,5.76
339,10.71
340,7.18
341,5.18
342,5.47
343,5.02
344,8.52
345,4.96
346,28.22
347,9.99
348,7.01
349,11.50
350,11.69
351,10.15
352,10.05
353,8.57
354,8.09
355,4.91
356,6.80
357,21.08
358,11.05
359,12.56
360,5.84
361,5.02
362,8.88
363,7.76
364,6.24
365,11.24
366,4.69
367,8.83
368,11.61
369,8.10
370,14.83
371,4.72
372,11.94
373,4.82
374,9.22
375,10.45
376,11.72
377,5.56
378,6.78
379,11.55
380,12.15
381,7.55
382,6.12
383,8.21
384,11.14
385,6.03
386,7.50
387,11.07
388,7.57
389,4.92
390,6.73
391,4.69
392,6.42
393,7.95
394,9.49
395,11.98
396,5.56
397,9.39
398,10.72
399,10.16
400,11.60
401,7.93
402,6.52
403,6.93
404,10.02
405,5.52
406,27.34
407,10.37
408,10.97
409,5.81
410,7.59
411,11.54
412,15.88
413,4.64
414,13.02
415,8.79
416,10.62
417,15.65
418,9.67
419,7.00
420,7.41
