seq,rtt_ms,oneway_est_ms
0,380.40,190.20
1,10.63,5.31
2,195.48,97.74
3,154.23,77.12
4,85.83,42.92
5,324.55,162.28
6,622.93,311.47
7,417.20,208.60
8,346.24,173.12
9,257.36,128.68
10,1326.11,663.05
11,414.97,207.49
12,71.97,35.98
13,341.59,170.79
14,253.32,126.66
15,56.36,28.18
16,96.69,48.35
17,308.55,154.27
18,121.98,60.99
19,390.19,195.10
20,257.89,128.95
21,303.09,151.55
22,313.25,156.62
23,2553.47,1276.74
24,617.13,308.56
25,142.70,71.35
26,578.44,289.22
27,1077.00,538.50
28,255.96,127.98
29,280.21,140.10
30,71.53,35.76
31,267.37,133.68
32,407.29,203.65
33,19.82,9.91
34,9.39,4.69
35,330.67,165.34
36,8.62,4.31
37,204.24,102.12
38,7.94,3.97
39,12.63,6.32
40,332.18,166.09
41,60.66,30.33
42,12.53,6.26
43,10.46,5.23
44,255.49,127.75
45,330.64,165.32
46,61.67,30.84
47,7.74,3.87
48,6.76,3.38
49,10.71,5.36
50,17.11,8.56
51,6.47,3.23
52,6.62,3.31
53,10.11,5.06
54,5.35,2.68
55,11.38,5.69
56,45.24,22.62
57,13.37,6.69
58,7.83,3.92
59,11.61,5.81
60,8.98,4.49
61,8.29,4.14
62,5.85,2.92
63,24.85,12.43
64,7.63,3.82
65,6.07,3.04
66,5.51,2.76
67,7.46,3.73
68,18.04,9.02
69,8.58,4.29
70,5.50,2.75
71,7.60,3.80
72,6.95,3.47
73,28.48,14.24
74,12.39,6.19
75,5.31,2.66
76,13.51,6.76
77,9.58,4.79
78,6.95,3.47
79,10.44,5.22
80,9.37,4.69
81,12.96,6.48
82,51.76,25.88
83,13.67,6.84
84,21.74,10.87
85,6.12,3.06
86,144.77,72.38
87,10.42,5.21
88,196.75,98.38
89,9.83,4.92
90,232.50,116.25
91,74.07,37.04
92,197.26,98.63
93,14.51,7.26
94,14.44,7.22
95,306.85,153.42
96,22.70,11.35
97,24.68,12.34
98,6.85,3.42
99,8.00,4.00
100,5.30,2.65
101,10.10,5.05
102,8.79,4.39
103,8.06,4.03
104,10.99,5.50
105,5.34,2.67
106,8.26,4.13
107,11.03,5.52
108,6.42,3.21
109,8.63,4.31
110,5.77,2.88
111,5.69,2.85
112,8.05,4.02
113,14.11,7.05
114,7.97,3.99
115,11.06,5.53
116,5.56,2.78
117,5.23,2.61
118,5.68,2.84
119,5.19,2.60
120,9.11,4.56
121,11.19,5.60
122,4.69,2.34
123,6.94,3.47
124,6.29,3.14
125,8.54,4.27
126,9.12,4.56
127,5.60,2.80
128,5.59,2.80
129,7.74,3.87
130,7.75,3.88
131,9.92,4.96
132,7.10,3.55
133,6.54,3.27
134,7.81,3.90
135,6.33,3.16
136,20.14,10.07
137,15.53,7.76
138,5.50,2.75
139,9.83,4.91
140,6.92,3.46
141,6.82,3.41
142,8.79,4.40
143,18.17,9.08
144,13.12,6.56
145,19.97,9.99
146,11.12,5.56
147,26.59,13.30
148,21.83,10.92
149,240.95,120.48
150,17.39,8.69
151,5.87,2.93
152,5.16,2.58
153,12.06,6.03
154,225.65,112.82
155,12.33,6.16
156,462.15,231.08
157,180.39,90.20
158,179.50,89.75
159,180.47,90.23
160,159.22,79.61
161,190.84,95.42
162,181.44,90.72
163,177.68,88.84
164,274.36,137.18
165,187.66,93.83
166,295.39,147.70
167,176.28,88.14
168,174.74,87.37
169,294.95,147.48
170,179.02,89.51
171,636.22,318.11
172,290.72,145.36
173,293.00,146.50
174,68.34,34.17
175,64.08,32.04
176,72.32,36.16
177,63.78,31.89
178,57.82,28.91
179,60.18,30.09
180,60.93,30.46
181,57.13,28.57
182,69.96,34.98
183,69.54,34.77
184,57.13,28.57
185,66.82,33.41
186,59.90,29.95
187,66.09,33.05
188,59.79,29.89
189,62.06,31.03
190,56.19,28.09
191,53.56,26.78
192,73.08,36.54
193,60.54,30.27
194,70.16,35.08
195,64.77,32.38
196,59.14,29.57
197,72.71,36.36
198,56.22,28.11
199,58.54,29.27
200,65.04,32.52
201,65.35,32.68
202,65.72,32.86
203,59.32,29.66
204,65.00,32.50
205,66.10,33.05
206,78.35,39.17
207,53.82,26.91
208,73.30,36.65
209,66.05,33.03
210,61.79,30.89
211,64.91,32.46
212,61.85,30.93
213,59.78,29.89
214,62.81,31.41
215,56.37,28.18
216,59.83,29.91
217,65.25,32.62
218,64.85,32.42
219,65.73,32.86
220,67.86,33.93
221,63.45,31.72
222,64.00,32.00
223,59.69,29.85
224,60.93,30.46
225,58.17,29.09
226,56.89,28.44
227,65.74,32.87
228,64.18,32.09
229,70.00,35.00
230,61.66,30.83
231,62.26,31.13
232,7.28,3.64
233,5.39,2.69
234,12.07,6.04
235,19.78,9.89
236,10.42,5.21
237,10.26,5.13
238,7.55,3.78
239,8.50,4.25
240,12.32,6.16
241,9.70,4.85
242,9.60,4.80
243,13.68,6.84
244,10.81,5.40
245,13.62,6.81
246,6.19,3.09
247,8.23,4.11
248,6.70,3.35
249,9.35,4.67
250,22.27,11.14
251,17.96,8.98
252,15.64,7.82
253,10.41,5.20
254,10.34,5.17
255,12.06,6.03
256,239.67,119.84
257,14.94,7.47
258,16.75,8.37
259,14.35,7.18
260,21.74,10.87
261,14.69,7.35
262,15.34,7.67
263,15.79,7.90
264,12.54,6.27
265,140.48,70.24
266,14.83,7.42
267,14.30,7.15
268,13.20,6.60
269,12.56,6.28
